id,category,name_localized,format,width,height,description,description_src,description_brief,inspected,need_inspection,inspection_reason,raw_response
core_cards/yes.png,core,"{""en"":""Yes"",""zh"":""是"",""yue"":""係"",""ko"":""예""}",PNG,500,500,This image shows a green checkmark on a black background. A checkmark means something is correct or agreed upon. It helps show that the answer is yes.,qwen3-vl-plus,This green checkmark means yes.,False,False,,"{
    ""en"": ""Yes"",
    ""zh"": ""是"",
    ""yue"": ""係"",
    ""ko"": ""예"",
    ""description"": ""This image shows a green checkmark on a black background. A checkmark means something is correct or agreed upon. It helps show that the answer is yes."",
    ""description_brief"": ""This green checkmark means yes."",
    ""needs_inspection"": false,
    ""reason"": """"
}"
core_cards/cry.png,emotion,"{""en"":""Gloomy"",""zh"":""忧郁"",""yue"":""憂鬱"",""ko"":""우울한""}",PNG,500,500,"This image shows a white face with a sad mouth and teardrops falling from its eyes. The eyebrows are slanted downward, showing that the face is feeling unhappy or upset. This picture helps show when someone feels sad or needs comfort.",qwen3-vl-plus,I feel sad and need help.,False,False,,"{
    ""en"": ""Gloomy"",
    ""zh"": ""忧郁"",
    ""yue"": ""憂鬱"",
    ""ko"": ""우울한"",
    ""description"": ""This image shows a white face with a sad mouth and teardrops falling from its eyes. The eyebrows are slanted downward, showing that the face is feeling unhappy or upset. This picture helps show when someone feels sad or needs comfort."",
    ""description_brief"": ""I feel sad and need help."",
    ""needs_inspection"": false,
    ""reason"": """"
}"
core_cards/fearful.png,emotion,"{""en"":""Fearful"",""zh"":""害怕的"",""yue"":""驚恐的"",""ko"":""두려운""}",PNG,2500,2500,"This face shows a person who is feeling scared. Their eyebrows are raised, eyes are wide open, and mouth is open with teeth showing. This expression helps us know someone feels afraid or nervous.",qwen3-vl-plus,This face means someone is feeling scared.,False,False,,"{
    ""en"": ""Fearful"",
    ""zh"": ""害怕的"",
    ""yue"": ""驚恐的"",
    ""ko"": ""두려운"",
    ""description"": ""This face shows a person who is feeling scared. Their eyebrows are raised, eyes are wide open, and mouth is open with teeth showing. This expression helps us know someone feels afraid or nervous."",
    ""description_brief"": ""This face means someone is feeling scared."",
    ""needs_inspection"": false,
    ""reason"": """"
}"
core_cards/beloved.png,emotion,"{""en"":""Beloved"",""zh"":""亲爱的"",""yue"":""親愛的"",""ko"":""사랑하는""}",PNG,2500,2500,"This image shows a simple white face with two black dots for eyes and a curved line for a smile. It is on a black background, making the face stand out clearly. The face looks happy and friendly, which can help show feelings of love or comfort.",qwen3-vl-plus,A happy face that means someone is loved or cherished.,False,False,,"{
    ""en"": ""Beloved"",
    ""zh"": ""亲爱的"",
    ""yue"": ""親愛的"",
    ""ko"": ""사랑하는"",
    ""description"": ""This image shows a simple white face with two black dots for eyes and a curved line for a smile. It is on a black background, making the face stand out clearly. The face looks happy and friendly, which can help show feelings of love or comfort."",
    ""description_brief"": ""A happy face that means someone is loved or cherished."",
    ""needs_inspection"": false,
    ""reason"": """"
}"
core_cards/idk.png,core,"{""en"":""I don't know"",""zh"":""我不知道"",""yue"":""我唔知"",""ko"":""모르겠어요""}",PNG,2500,2500,"This image shows a white face with a sad or confused expression on a black background. The eyebrows are curved down, and the mouth is turned downward. There are two small white shapes at the bottom that look like hands or feet.",qwen3-vl-plus,"A face that looks unsure or confused, with a sad mouth and curved-down eyebrows.",False,False,,"{
    ""en"": ""I don't know"",
    ""zh"": ""我不知道"",
    ""yue"": ""我唔知"",
    ""ko"": ""모르겠어요"",
    ""description"": ""This image shows a white face with a sad or confused expression on a black background. The eyebrows are curved down, and the mouth is turned downward. There are two small white shapes at the bottom that look like hands or feet."",
    ""description_brief"": ""A face that looks unsure or confused, with a sad mouth and curved-down eyebrows."",
    ""needs_inspection"": false,
    ""reason"": """"
}"
core_cards/ask.png,core,"{""en"":""Ask"",""zh"":""询问"",""yue"":""問"",""ko"":""물어보기""}",PNG,2500,2500,"This image shows a white circle with a small black dot for an eye and an open mouth shape. It is simple and clear, designed to help children understand the idea of asking a question. The open mouth suggests speaking or requesting something.",qwen3-vl-plus,Use this to ask someone a question or say you need help.,False,False,,"{
    ""en"": ""Ask"",
    ""zh"": ""询问"",
    ""yue"": ""問"",
    ""ko"": ""물어보기"",
    ""description"": ""This image shows a white circle with a small black dot for an eye and an open mouth shape. It is simple and clear, designed to help children understand the idea of asking a question. The open mouth suggests speaking or requesting something."",
    ""description_brief"": ""Use this to ask someone a question or say you need help."",
    ""needs_inspection"": false,
    ""reason"": """"
}"
core_cards/sad.png,emotion,"{""en"":""Sad"",""zh"":""伤心"",""yue"":""傷心"",""ko"":""슬픔""}",PNG,2500,2500,This image shows a white face with eyes looking down and a mouth turned downward. It is used to show the feeling of being sad or upset. The simple design helps people understand this emotion without confusion.,qwen3-vl-plus,This face shows someone feels sad.,False,False,,"{
    ""en"": ""Sad"",
    ""zh"": ""伤心"",
    ""yue"": ""傷心"",
    ""ko"": ""슬픔"",
    ""description"": ""This image shows a white face with eyes looking down and a mouth turned downward. It is used to show the feeling of being sad or upset. The simple design helps people understand this emotion without confusion."",
    ""description_brief"": ""This face shows someone feels sad."",
    ""needs_inspection"": false,
    ""reason"": """"
}"
core_cards/confused.png,emotion,"{""en"":""Confused"",""zh"":""困惑"",""yue"":""困惑"",""ko"":""혼란스러움""}",PNG,2500,2500,"This face shows a person who is not sure what is happening. The eyebrows are raised and the mouth is curved down, which means they feel unsure or puzzled. It’s okay to feel this way when things are hard to understand.",qwen3-vl-plus,I feel confused because I don’t understand what’s going on.,False,False,,"{
    ""en"": ""Confused"",
    ""zh"": ""困惑"",
    ""yue"": ""困惑"",
    ""ko"": ""혼란스러움"",
    ""description"": ""This face shows a person who is not sure what is happening. The eyebrows are raised and the mouth is curved down, which means they feel unsure or puzzled. It’s okay to feel this way when things are hard to understand."",
    ""description_brief"": ""I feel confused because I don’t understand what’s going on."",
    ""needs_inspection"": false,
    ""reason"": """"
}"
core_cards/no.png,core,"{""en"":""No"",""zh"":""不"",""yue"":""唔"",""ko"":""아니요""}",PNG,2500,2500,This is a red X on a black background. The X is made of two thick lines crossing each other. It is used to show that something is not allowed or is incorrect.,qwen3-vl-plus,This red X means 'No' or 'Not allowed'.,False,False,,"{
    ""en"": ""No"",
    ""zh"": ""不"",
    ""yue"": ""唔"",
    ""ko"": ""아니요"",
    ""description"": ""This is a red X on a black background. The X is made of two thick lines crossing each other. It is used to show that something is not allowed or is incorrect."",
    ""description_brief"": ""This red X means 'No' or 'Not allowed'."",
    ""needs_inspection"": false,
    ""reason"": """"
}"
core_cards/happy.png,emotion,"{""en"":""Happy"",""zh"":""开心"",""yue"":""開心"",""ko"":""행복""}",PNG,2500,2500,"This image shows a white face with black eyes, curved eyebrows, and a big smile. It is used to show the feeling of being happy or joyful. The simple design helps people understand emotions clearly.",qwen3-vl-plus,A smiling face that means you feel happy.,False,False,,"{
    ""en"": ""Happy"",
    ""zh"": ""开心"",
    ""yue"": ""開心"",
    ""ko"": ""행복"",
    ""description"": ""This image shows a white face with black eyes, curved eyebrows, and a big smile. It is used to show the feeling of being happy or joyful. The simple design helps people understand emotions clearly."",
    ""description_brief"": ""A smiling face that means you feel happy."",
    ""needs_inspection"": false,
    ""reason"": """"
}"
