id,category,english,localized,inspected
Bw0NV6KqyF,action,Act,연기해요,False
RWxZ17pGwo,action,Brush,닦다,False
-lUSHwHPs0,action,Drew,그렸어요,False
moTvDwBqdb,action,Finished,끝났어요,True
XDZ_3Pu2QH,action,Giggle,웃어요,False
CoRFWKzILD,action,Greet,인사해요,False
k3FZWS4huV,action,Grin,미소,False
B-76itJNxH,action,Ignore,무시해요,False
zZTH1bt9yp,action,Interact,소통해요,False
NPtCO4kroC,action,Laugh,웃어요,False
qn-eVMVboh,action,Met,만났어요,False
kkrAUI__2u,action,Miss,그립게 해요,False
6uKqIiVST0,action,Review,검토해요,False
l6y2YnT8NS,action,Sat,앉았어요,False
WZIcksWura,action,Screamed,소리질렀어요,False
sPW_mTFWbr,action,Sleepy,졸려요,False
ZjSiH2TiFw,action,Slept,잤어요,False
T-w6AqR2WI,action,Wrote,썼어요,False
VBq9Ncvjil,action,accompany,동반해요,False
AtpX8pHl4M,action,after school,학교 끝나고,False
xtanQH_vnW,action,already did,이미 했어요,False
JIVJJMuHka,action,answer,대답해요,False
Z7PKuepeFz,action,apologize,사과해요,False
9xqfhNC0iY,action,argue,논해요,False
ngWC3e5vtK,action,arrange,정리해요,False
FIFK8XdIo9,action,arrive,도착해요,False
rFP_f6kugO,action,ask,물어봐요,False
B9b8lbix_D,action,assist,돕는 걸 도와줄 필요가 있어요,False
5pdoQaqQEb,action,at library,도서관에서,False
S5ybpAoUkJ,action,at lunch,점심 때,False
C981hmNoSM,action,ate,먹었어요,True
PcgcuBvG2g,action,attacked,공격했어요,False
Rq-WS4idop,action,attend,참여해요,False
HYSTggkfOs,action,avoid,피하다,False
iz3c5syd8u,action,bake,굽어요,False
Bvxy36dzfe,action,begin,시작해요,False
WuY3NIdVc7,action,bored,지루해요,False
4hJt7Dz1-5,action,bought,사요,False
oL_-Q4w-BF,action,box,상자,False
J3qH5TLi_n,action,bring,가져가요,True
fwwyi2Bvj8,action,brush teeth,이를 닦아요,False
q8F67fPvIt,action,build,지어요,False
QYBk1Wh9mw,action,built,지었어요,True
Bir4yNufTz,action,buy,사요,True
gz3aF3BWwY,action,call,전화해요,False
dLZOyrZ0EJ,action,calm down,진정해요,False
ZQx7RmTxx4,action,can,할 수 있어요,False
C5rVl7i4X4,action,can do,할 수 있어요,False
-HG-AfkaA2,action,can we,할 수 있을까요,False
8WcAkvge62,action,carry,들어요,False
3MQozy88V-,action,catch,잡아요,False
hSjmPiYA4J,action,celebrate,축하하세요,False
9ApkXNWhGk,action,chat,잡담해요,True
C6o185JDGT,action,check,확인해요,False
tCQSoOhVWH,action,cheer,힘내요,False
IsLwcliTff,action,chew,씹어요,False
Z6-RUtuXwp,action,choose,선택해요,True
cF5BalJBSG,action,clapped,박수쳤어요,False
cbw22uIWzr,action,clarify,명확히해요,False
FFp5dgF61U,action,clean,청소해요,False
Y8B-lSXI_c,action,climb,올라가요,False
r35xvR3VnP,action,climbed,올라갔어요,True
rxpr1-OcV4,action,close,닫다,False
tIhdQMzeY6,action,collect,모아요,False
IirZnrgimq,action,collection,모아요,False
f7x6vYZGZH,action,color,색칠해요,True
bByGQFesH1,action,colored,색칠했어요,False
Vb_TokgFEr,action,come,오세요,False
eSlLLkKkpf,action,comfort,편안해요,False
ty-h7QgqIG,action,complete,완료해요,False
jyYUo6mfI3,action,completed,완료했어요,False
4fhkowx0NH,action,completing,완료해요,False
cegp4Ih_er,action,confirm,확인해요,False
ZpDnU8cjbb,action,consider,고려해요,True
yKC4VLeixs,action,continue,계속해요,False
